X.	Date.Time..GMT.02.00	Temperature	Rainfall	Batt..V..LGR.S.N..10830614..SEN.S.N..10830614.	comments_rain	comments_temp
1	2015/12/03 10:00:00	28.456		3.14		
2	2015/12/03 11:00:00	27.862		3.14		
3	2015/12/03 12:00:00	28.159		3.14		
4	2015/12/03 13:00:00	28.258		3.14		
5	2015/12/03 14:00:00	28.456		3.14		
6	2015/12/03 15:00:00	27.665		3.14		
7	2015/12/03 16:00:00	26.781		3.12		
8	2015/12/03 17:00:00	25.513		3.12		
9	2015/12/03 18:00:00	25.028		3.12		
10	2015/12/03 19:00:00	21.282		3.12		
11	2015/12/03 20:00:00	18.806		3.14		
12	2015/12/03 21:00:00	16.808		3.12		
13	2015/12/03 22:00:00	15.378		3.12		
14	2015/12/03 23:00:00	15.76		3.12		
15	2015/12/04 00:00:00	14.996		3.12		
16	2015/12/04 01:00:00	14.038		3.12		
17	2015/12/04 02:00:00	13.942		3.12		
18	2015/12/04 03:00:00	14.9		3.12		
19	2015/12/04 04:00:00	17.189		3.1		
20	2015/12/04 05:00:00	14.134		3.12		
21	2015/12/04 06:00:00	13.846		3.1		
22	2015/12/04 07:00:00	25.125		3.08		
23	2015/12/04 08:00:00	26.781		3.08		
24	2015/12/04 09:00:00	26.488		3.08		
25	2015/12/04 10:00:00	28.159		3.08		
26	2015/12/04 11:00:00	29.152		3.1		
27	2015/12/04 12:00:00	28.953		3.1		
28	2015/12/04 13:00:00	28.06		3.08		
29	2015/12/04 14:00:00	27.468		3.08		
30	2015/12/04 15:00:00	26.488		3.08		
31	2015/12/04 16:00:00	27.37		3.08		
32	2015/12/04 17:00:00	26.097		3.08		
33	2015/12/04 18:00:00	26.195		3.08		
34	2015/12/04 19:00:00	22.142		3.08		
35	2015/12/04 20:00:00	18.996		3.08		
36	2015/12/04 21:00:00	18.616		3.08		
37	2015/12/04 22:00:00	17.379		3.08		
38	2015/12/04 23:00:00	17.475		3.08		
39	2015/12/05 00:00:00	18.616		3.08		
40	2015/12/05 01:00:00	18.045		3.08		
41	2015/12/05 02:00:00	16.237		3.05		
42	2015/12/05 03:00:00	15.473		3.05		
43	2015/12/05 04:00:00	16.141		3.05		
44	2015/12/05 05:00:00	17.094		3.05		
45	2015/12/05 06:00:00	17.189		3.05		
46	2015/12/05 07:00:00	23.773		3.05		
47	2015/12/05 08:00:00	26.781		3.05		
48	2015/12/05 09:00:00	28.456		3.05		
49	2015/12/05 10:00:00	28.655		3.05		
50	2015/12/05 11:00:00	31.574		3.05		
51	2015/12/05 12:00:00	30.054		3.03		
52	2015/12/05 13:00:00	30.963		3.03		
53	2015/12/05 14:00:00	30.963		3.03		
54	2015/12/05 15:00:00	30.659		3.03		
55	2015/12/05 16:00:00	29.752		3.03		
56	2015/12/05 17:00:00	28.456		3.05		
57	2015/12/05 18:00:00	26.781		3.05		
58	2015/12/05 19:00:00	23.196		3.05		
59	2015/12/05 20:00:00	21.473		3.05		
60	2015/12/05 21:00:00	22.142		3.05		
61	2015/12/05 22:00:00	22.429		3.05		
62	2015/12/05 23:00:00	22.717		3.05		
63	2015/12/06 00:00:00	21.091		3.03		
64	2015/12/06 01:00:00	16.903		3.05		
65	2015/12/06 02:00:00	16.046		3.03		
66	2015/12/06 03:00:00	17.475		3.03		
67	2015/12/06 04:00:00	18.996		3.05		
68	2015/12/06 05:00:00	16.046		3.03		
69	2015/12/06 06:00:00	14.996		3.05		
70	2015/12/06 07:00:00	26.781		3.03		
71	2015/12/06 08:00:00	30.76		3.01		
72	2015/12/06 09:00:00	29.252		3.03		
73	2015/12/06 10:00:00	29.752		3.01		
74	2015/12/06 11:00:00	29.953		3.01		
75	2015/12/06 12:00:00	28.159		3.03		
76	2015/12/06 13:00:00	27.173		3.03		
77	2015/12/06 14:00:00	27.272		3.03		
78	2015/12/06 15:00:00	27.665		3.03		
79	2015/12/06 16:00:00	26.781		3.03		
80	2015/12/06 17:00:00	25.902		3.03		
81	2015/12/06 18:00:00	25.028		3.01		
82	2015/12/06 19:00:00	22.429		3.03		
83	2015/12/06 20:00:00	21.187		3.03		
84	2015/12/06 21:00:00	18.616		3.03		
85	2015/12/06 22:00:00	16.999		3.03		
86	2015/12/06 23:00:00	17.189		3.03		
87	2015/12/07 00:00:00	17.475		3.03		
88	2015/12/07 01:00:00	16.713		3.03		
89	2015/12/07 02:00:00	14.996		3.03		
90	2015/12/07 03:00:00	14.613		3.03		
91	2015/12/07 04:00:00	13.75		3.03		
92	2015/12/07 05:00:00	13.942		3.03		
93	2015/12/07 06:00:00	13.942		3.03		
94	2015/12/07 07:00:00	26.39		3.01		
95	2015/12/07 08:00:00	28.159		3.01		
96	2015/12/07 09:00:00	28.258		3.01		
97	2015/12/07 10:00:00	28.456		3.01		
98	2015/12/07 11:00:00	27.665		3.01		
99	2015/12/07 12:00:00	27.862		3.01		
100	2015/12/07 13:00:00	27.862		3.01		
101	2015/12/07 14:00:00	25.805		3.01		
102	2015/12/07 15:00:00	28.258		3.01		
103	2015/12/07 16:00:00	24.835		3.03		
104	2015/12/07 17:00:00	25.513		3.01		
105	2015/12/07 18:00:00	23.196		3.01		
106	2015/12/07 19:00:00	21.855		3.01		
107	2015/12/07 20:00:00	20.805		3.01		
108	2015/12/07 21:00:00	20.996		3.01		
109	2015/12/07 22:00:00	18.521		3.01		
110	2015/12/07 23:00:00	16.999		3.01		
111	2015/12/08 00:00:00	17.284		3.01		
112	2015/12/08 01:00:00	16.713		3.01		
113	2015/12/08 02:00:00	16.808		3.01		
114	2015/12/08 03:00:00	16.332		3.01		
115	2015/12/08 04:00:00	16.713		3.01		
116	2015/12/08 05:00:00	15.378		2.99		
117	2015/12/08 06:00:00	15.378		2.99		
118	2015/12/08 07:00:00	24.641		3.01		
119	2015/12/08 08:00:00	24.158		3.01		
120	2015/12/08 09:00:00	24.931		3.01		
121	2015/12/08 10:00:00	25.028		2.99		
122	2015/12/08 11:00:00	25.125		2.99		
123	2015/12/08 12:00:00	23.966		3.01		
124	2015/12/08 13:00:00	21.569		2.99		
125	2015/12/08 14:00:00	23.773		3.01		
126	2015/12/08 15:00:00	26.097		2.99		
127	2015/12/08 16:00:00	24.255		3.01		
128	2015/12/08 17:00:00	23.581		3.01		
129	2015/12/08 18:00:00	19.662		2.99		
130	2015/12/08 19:00:00	17.475		2.99		
131	2015/12/08 20:00:00	14.9		3.01		
132	2015/12/08 21:00:00	14.421		3.01		
133	2015/12/08 22:00:00	14.421		3.01		
134	2015/12/08 23:00:00	13.75		2.99		
135	2015/12/09 00:00:00	11.722		2.99		
136	2015/12/09 01:00:00	11.236		2.99		
137	2015/12/09 02:00:00	10.161		2.99		
138	2015/12/09 03:00:00	11.236		2.99		
139	2015/12/09 04:00:00	11.139		2.99		
140	2015/12/09 05:00:00	11.236		2.97		
141	2015/12/09 06:00:00	11.041		2.97		
142	2015/12/09 07:00:00	21.569		2.97		
143	2015/12/09 08:00:00	23.292		2.97		
144	2015/12/09 09:00:00	23.484		2.99		
145	2015/12/09 10:00:00	24.158		2.99		
146	2015/12/09 11:00:00	23.581		2.99		
147	2015/12/09 12:00:00	23.773		2.99		
148	2015/12/09 13:00:00	25.513		2.97		
149	2015/12/09 14:00:00	26.097		2.97		
150	2015/12/09 15:00:00	25.125		2.97		
151	2015/12/09 16:00:00	24.255		2.99		
152	2015/12/09 17:00:00	23.581		2.99		
153	2015/12/09 18:00:00	22.908		2.99		
154	2015/12/09 19:00:00	18.901		2.99		
155	2015/12/09 20:00:00	15.951		2.99		
156	2015/12/09 21:00:00	16.332		2.99		
157	2015/12/09 22:00:00	18.236		2.99		
158	2015/12/09 23:00:00	19.282		2.99		
159	2015/12/10 00:00:00	19.758		2.97		
160	2015/12/10 01:00:00	19.758		2.97		
161	2015/12/10 02:00:00	17.95		2.99		
162	2015/12/10 03:00:00	15.855		2.97		
163	2015/12/10 04:00:00	14.421		2.99		
164	2015/12/10 05:00:00	14.038		2.99		
165	2015/12/10 06:00:00	15.951		2.97		
166	2015/12/10 07:00:00	25.125		2.95		
167	2015/12/10 08:00:00	26.585		2.97		
168	2015/12/10 09:00:00	27.764		2.97		
169	2015/12/10 10:00:00	28.655		2.97		
170	2015/12/10 11:00:00	28.357		2.97		
171	2015/12/10 12:00:00	27.468		2.97		
172	2015/12/10 13:00:00	27.764		2.97		
173	2015/12/10 14:00:00	28.357		2.99		
174	2015/12/10 15:00:00	28.456		2.99		
175	2015/12/10 16:00:00	28.555		2.99		
176	2015/12/10 17:00:00	28.754		2.99		
177	2015/12/10 18:00:00	27.075		2.99		
178	2015/12/10 19:00:00	23.869		2.99		
179	2015/12/10 20:00:00	19.948		2.97		
180	2015/12/10 21:00:00	18.521		2.99		
181	2015/12/10 22:00:00	18.426		2.99		
182	2015/12/10 23:00:00	18.331		2.99		
183	2015/12/11 00:00:00	18.331		2.99		
184	2015/12/11 01:00:00	18.045		2.99		
185	2015/12/11 02:00:00	17.665		2.97		
