2016-12-13 14:03:48.062 +02:00 [Information] Version 1.9
2016-12-13 14:03:48.398 +02:00 [Verbose] Date: 1937/09/01 08:00; Rainfall: 
2016-12-13 14:03:48.492 +02:00 [Verbose] Date: 1937/09/01 14:00; Rainfall: 
2016-12-13 14:03:48.492 +02:00 [Verbose] Date: 1937/09/02 08:00; Rainfall: 
2016-12-13 14:03:48.492 +02:00 [Verbose] Date: 1937/09/02 14:00; Rainfall: 
2016-12-13 14:03:48.492 +02:00 [Verbose] Date: 1937/09/03 08:00; Rainfall: 
2016-12-13 14:03:48.492 +02:00 [Verbose] Date: 1937/09/03 14:00; Rainfall: 
2016-12-13 14:03:48.493 +02:00 [Verbose] Date: 1937/09/04 08:00; Rainfall: 
2016-12-13 14:03:48.493 +02:00 [Verbose] Date: 1937/09/04 14:00; Rainfall: 
2016-12-13 14:03:48.523 +02:00 [Verbose] Date: 1937/09/05 08:00; Rainfall: 
2016-12-13 14:03:48.523 +02:00 [Verbose] Date: 1937/09/05 14:00; Rainfall: 
2016-12-13 14:03:48.523 +02:00 [Verbose] Date: 1937/09/06 08:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/06 14:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/07 08:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/07 14:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/08 08:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/08 14:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/09 08:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/09 14:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/10 08:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/10 14:00; Rainfall: 
2016-12-13 14:03:48.524 +02:00 [Verbose] Date: 1937/09/11 08:00; Rainfall: 
