2016-12-14 13:36:12.997 +02:00 [Information] Version 1.9
2016-12-14 13:36:13.438 +02:00 [Verbose] Date: 1937/09/01 08:00; Rainfall: 0
2016-12-14 13:36:13.475 +02:00 [Verbose] Date: 1937/09/01 14:00; Rainfall: 0
2016-12-14 13:36:13.475 +02:00 [Verbose] Date: 1937/09/02 08:00; Rainfall: 0
2016-12-14 13:36:13.475 +02:00 [Verbose] Date: 1937/09/02 14:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/03 08:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/03 14:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/04 08:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/04 14:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/05 08:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/05 14:00; Rainfall: 0
2016-12-14 13:36:13.476 +02:00 [Verbose] Date: 1937/09/06 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/06 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/07 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/07 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/08 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/08 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/09 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/09 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/10 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/10 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/11 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/11 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/12 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/12 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/13 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/13 14:00; Rainfall: 13.462
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/14 08:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/14 14:00; Rainfall: 0
2016-12-14 13:36:13.477 +02:00 [Verbose] Date: 1937/09/15 08:00; Rainfall: 0
